term,frequency_doc1,frequency_doc2,sum_of_frequencies
addage,1,0,1
beast,1,0,1
enterprize,1,0,1
durst,1,0,1
adhere,1,0,1
fitness,1,0,1
sucke,1,0,1
fayle,1,0,1
milkes,1,0,1
smyling,1,0,1
pluckt,1,0,1
nipple,1,0,1
boneless,1,0,1
gummes,1,0,1
dasht,1,0,1
sworne,1,0,1
screw,1,0,1
agent,1,0,1
fairest,1,0,1
stuck,1,0,1
taket,1,0,1
drunk,1,0,1
quenchd,1,0,1
shriekd,1,0,1
bellman,1,0,1
sternst,1,0,1
doores,1,0,1
surfeted,1,0,1
snores,1,0,1
druggd,1,0,1
possets,1,0,1
alack,1,0,1
confounds,1,0,1
layd,1,0,1
resembled,1,0,1
schreame,1,0,1
crickets,1,0,1
ins,1,0,1
addrest,1,0,1
hangmans,1,0,1
listning,1,0,1
deepely,1,0,1
mistress,1,0,1
counsaild,1,0,1
allegeance,1,0,1
greetes,1,0,1
later,1,0,1
husbandry,1,0,1
candles,1,0,1
lead,1,0,1
powers,1,0,1
restraine,1,0,1
unusvall,1,0,1
largess,1,0,1
diamond,1,0,1
measureless,1,0,1
franchisd,1,0,1
unprepard,1,0,1
defect,1,0,1
dreamt,1,0,1
entreat,1,0,1
graunt,1,0,1
kindst,1,0,1
lose,1,0,1
seeking,1,0,1
augment,1,0,1
amisse,1,0,1
fountaine,1,0,1
short,1,0,1
ioyntly,1,0,1
fleance,1,0,1
backs,1,0,1
considerd,1,0,1
probation,1,0,1
crost,1,0,1
notion,1,0,1
crazd,1,0,1
predominant,1,0,1
gospelld,1,0,1
bowd,1,0,1
beggerd,1,0,1
catalogve,1,0,1
hounds,1,0,1
greyhounds,1,0,1
mungrels,1,0,1
spaniels,1,0,1
curres,1,0,1
showghes,1,0,1
waterrugs,1,0,1
demywolves,1,0,1
clipt,1,0,1
hye,1,0,1
craving,1,0,1
source,1,0,1
therewithall,1,0,1
verities,1,0,1
oracles,1,0,1
hush,1,0,1
gap,1,0,1
allthing,1,0,1
unbecomming,1,0,1
solemn,1,0,1
indissoluble,1,0,1
tye,1,0,1
afternoone,1,0,1
desird,1,0,1
councell,1,0,1
twixt,1,0,1
borrower,1,0,1
twaine,1,0,1
cozens,1,0,1
bestowd,1,0,1
confessing,1,0,1
parricide,1,0,1
filling,1,0,1
hearers,1,0,1
dogges,1,0,1
valved,1,0,1
distingvishes,1,0,1
slow,1,0,1
sweepe,1,0,1
avouch,1,0,1
wayle,1,0,1
struck,1,0,1
assistance,1,0,1
masking,1,0,1
common,1,0,1
weighty,1,0,1
reasons,1,0,1
acquaint,1,0,1
spy,1,0,1
alwayes,1,0,1
cleareness,1,0,1
rubs,1,0,1
botches,1,0,1
materiall,1,0,1
embrace,1,0,1
resolve,1,0,1
apart,1,0,1
resolud,1,0,1
concluded,1,0,1
barefacd,1,0,1
neerst,1,0,1
thrusts,1,0,1
ranke,1,0,1
subtle,1,0,1
housekeeper,1,0,1
hunter,1,0,1
gift,1,0,1
bounteous,1,0,1
closd,1,0,1
bill,1,0,1
writes,1,0,1
alike,1,0,1
sayt,1,0,1
rid,1,0,1
grapples,1,0,1
vile,1,0,1
blowes,1,0,1
buffets,1,0,1
incensd,1,0,1
reckless,1,0,1
disasters,1,0,1
tuggd,1,0,1
mend,1,0,1
saide,1,0,1
fowly,1,0,1
playdst,1,0,1
shot,1,0,1
argument,1,0,1
augure,1,0,1
hole,1,0,1
rush,1,0,1
brewd,1,0,1
motion,1,0,1
frailties,1,0,1
exposure,1,0,1
piece,1,0,1
undivulgd,1,0,1
pretence,1,0,1
treasonous,1,0,1
briefely,1,0,1
readinesse,1,0,1
hall,1,0,1
contented,1,0,1
consort,1,0,1
unfelt,1,0,1
seperated,1,0,1
neerer,1,0,1
murtherous,1,0,1
clayme,1,0,1
refraine,1,0,1
gore,1,0,1
outrun,1,0,1
badgd,1,0,1
unwipd,1,0,1
stard,1,0,1
distracted,1,0,1
repent,1,0,1
temprate,1,0,1
furious,1,0,1
neutrall,1,0,1
expedition,1,0,1
pawser,1,0,1
breechd,1,0,1
skinn,1,0,1
lacd,1,0,1
gashd,1,0,1
stabs,1,0,1
breach,1,0,1
rvines,1,0,1
wastfull,1,0,1
steepd,1,0,1
unmannerly,1,0,1
shaft,1,0,1
safest,1,0,1
benyson,1,0,1
ayme,1,0,1
turnd,1,0,1
stalls,1,0,1
flong,1,0,1
contending,1,0,1
mankinde,1,0,1
amazement,1,0,1
pretend,1,0,1
subborned,1,0,1
stoln,1,0,1
puts,1,0,1
suspition,1,0,1
thriftless,1,0,1
raven,1,0,1
soveraignty,1,0,1
invested,1,0,1
colmekill,1,0,1
sacred,1,0,1
storehouse,1,0,1
predecessors,1,0,1
gvardian,1,0,1
easier,1,0,1
race,1,0,1
minions,1,0,1
beauteous,1,0,1
threatens,1,0,1
warrant,1,0,1
theft,1,0,1
steales,1,0,1
threescore,1,0,1
volume,1,0,1
trifled,1,0,1
knowings,1,0,1
ha,1,0,1
seest,1,0,1
byth,1,0,1
hawkt,1,0,1
strangles,1,0,1
travailing,1,0,1
lampe,1,0,1
predominance,1,0,1
intombe,1,0,1
tvesday,1,0,1
faulcon,1,0,1
towring,1,0,1
mowsing,1,0,1
esteemst,1,0,1
freely,1,0,1
wakes,1,0,1
sayle,1,0,1
tayle,1,0,1
thart,1,0,1
ports,1,0,1
quarters,1,0,1
shipmans,1,0,1
card,1,0,1
dreyne,1,0,1
dry,1,0,1
hay,1,0,1
penthouse,1,0,1
lid,1,0,1
seunights,1,0,1
dwindle,1,0,1
peake,1,0,1
barke,1,0,1
tempesttost,1,0,1
pilots,1,0,1
thumbe,1,0,1
wrackt,1,0,1
homeward,1,0,1
posters,1,0,1
rat,1,0,1
syve,1,0,1
drest,1,0,1
aleppo,1,0,1
craves,1,0,1
composition,1,0,1
deigne,1,0,1
buriall,1,0,1
disbursed,1,0,1
saint,1,0,1
colmes,1,0,1
ynch,1,0,1
dollars,1,0,1
interest,1,0,1
killing,1,0,1
swine,1,0,1
saylors,1,0,1
chestnuts,1,0,1
lappe,1,0,1
quoth,1,0,1
aroynt,1,0,1
witch,1,0,1
rumpefed,1,0,1
ronyon,1,0,1
husbands,1,0,1
wound,1,0,1
soris,1,0,1
witherd,1,0,1
attyre,1,0,1
insane,1,0,1
prisoner,1,0,1
tune,1,0,1
reades,1,0,1
personall,1,0,1
venture,1,0,1
rebels,1,0,1
wonders,1,0,1
silencd,1,0,1
viewing,1,0,1
stout,1,0,1
rankes,1,0,1
afeard,1,0,1
thick,1,0,1
powrd,1,0,1
harrold,1,0,1
dress,1,0,1
borrowed,1,0,1
combind,1,0,1
lyne,1,0,1
hidden,1,0,1
stayd,1,0,1
melted,1,0,1
bubbles,1,0,1
seedes,1,0,1
aught,1,0,1
choppy,1,0,1
laying,1,0,1
skinny,1,0,1
beards,1,0,1
interprete,1,0,1
outwardly,1,0,1
prediction,1,0,1
wrapt,1,0,1
graine,1,0,1
greeting,1,0,1
favors,1,0,1
happyer,1,0,1
imperfect,1,0,1
speakers,1,0,1
sinells,1,0,1
prospect,1,0,1
intelligence,1,0,1
blasted,1,0,1
prophetique,1,0,1
norwayes,1,0,1
sweno,1,0,1
happinesse,1,0,1
stormes,1,0,1
supplyd,1,0,1
smiling,1,0,1
rebells,1,0,1
disdayning,1,0,1
brandisht,1,0,1
smoakd,1,0,1
valours,1,0,1
minion,1,0,1
carud,1,0,1
passage,1,0,1
facd,1,0,1
neur,1,0,1
shooke,1,0,1
unseamd,1,0,1
nave,1,0,1
chops,1,0,1
fixd,1,0,1
battlements,1,0,1
cousin,1,0,1
gins,1,0,1
reflection,1,0,1
gallowgrosses,1,0,1
isles,1,0,1
western,1,0,1
plight,1,0,1
lightning,1,0,1
raine,1,0,1
hurleyburleys,1,0,1
battailes,1,0,1
sunne,1,0,1
graymalkin,1,0,1
padock,1,0,1
hover,1,0,1
fogge,1,0,1
serieant,1,0,1
swarme,1,0,1
hardy,1,0,1
captivity,1,0,1
broyle,1,0,1
swimmers,1,0,1
choake,1,0,1
merciless,1,0,1
macdonwald,1,0,1
multiplying,1,0,1
villanies,1,0,1
shipwracking,1,0,1
direfull,1,0,1
victory,1,0,1
swells,1,0,1
faint,1,0,1
smack,1,0,1
surgeons,1,0,1
haste,1,0,1
camst,1,0,1
fiffe,1,0,1
flowt,1,0,1
sky,1,0,1
fann,1,0,1
disloyall,1,0,1
traytor,1,0,1
conflict,1,0,1
bellonas,1,0,1
bridegroome,1,0,1
lapt,1,0,1
proofe,1,0,1
confronted,1,0,1
selfecomparisons,1,0,1
curbing,1,0,1
lavish,1,0,1
conclude,1,0,1
golgotha,1,0,1
memorize,1,0,1
reeking,1,0,1
banquoh,1,0,1
compelld,1,0,1
skipping,1,0,1
surveying,1,0,1
furbusht,1,0,1
supplyes,1,0,1
fresh,1,0,1
assault,1,0,1
dismayd,1,0,1
captaines,1,0,1
sparrowes,1,0,1
bathe,1,0,1
eagles,1,0,1
hare,1,0,1
overchargd,1,0,1
cracks,1,0,1
doubly,1,0,1
redoubled,1,0,1
foe,1,0,1
except,1,0,1
meant,1,0,1
labourd,1,0,1
countreyes,1,0,1
capitall,1,0,1
ermites,1,0,1
approve,1,0,1
loved,1,0,1
mansonry,1,0,1
smells,1,0,1
wooingly,1,0,1
jutty,1,0,1
frieze,1,0,1
buttrice,1,0,1
coigne,1,0,1
pendant,1,0,1
procreant,1,0,1
cradle,1,0,1
obserud,1,0,1
delicate,1,0,1
honord,1,0,1
followes,1,0,1
herein,1,0,1
godeyld,1,0,1
wherewith,1,0,1
loades,1,0,1
dignities,1,0,1
barlet,1,0,1
templehaunting,1,0,1
summer,1,0,1
matters,1,0,1
thourt,1,0,1
wert,1,0,1
informd,1,0,1
speed,1,0,1
scarcely,1,0,1
tending,1,0,1
brings,1,0,1
purposes,1,0,1
booke,1,0,1
begvile,1,0,1
recommends,1,0,1
undert,1,0,1
provided,1,0,1
solely,1,0,1
masterdome,1,0,1
alter,1,0,1
favor,1,0,1
pleasant,1,0,1
nimbly,1,0,1
sweetly,1,0,1
heapd,1,0,1
wheres,1,0,1
metaphysicall,1,0,1
courst,1,0,1
vertves,1,0,1
pleade,1,0,1
trumpettongud,1,0,1
damnation,1,0,1
newbornebabe,1,0,1
striding,1,0,1
blast,1,0,1
horsd,1,0,1
sightless,1,0,1
curriors,1,0,1
intent,1,0,1
vaulting,1,0,1
oreleapes,1,0,1
falles,1,0,1
proceed,1,0,1
honourd,1,0,1
opinions,1,0,1
worn,1,0,1
glosse,1,0,1
aside,1,0,1
drunke,1,0,1
meeke,1,0,1
faculties,1,0,1
knife,1,0,1
surcease,1,0,1
purveyor,1,0,1
rides,1,0,1
sharpe,1,0,1
holp,1,0,1
compt,1,0,1
audit,1,0,1
twer,1,0,1
assassination,1,0,1
trammell,1,0,1
banke,1,0,1
challice,1,0,1
weeld,1,0,1
jumpe,1,0,1
cases,1,0,1
instructions,1,0,1
taught,1,0,1
plagve,1,0,1
inventer,1,0,1
evenhanded,1,0,1
commends,1,0,1
ayde,1,0,1
impeides,1,0,1
overthrown,1,0,1
payes,1,0,1
surmise,1,0,1
partners,1,0,1
mould,1,0,1
runs,1,0,1
roughest,1,0,1
favour,1,0,1
registred,1,0,1
chancd,1,0,1
interim,1,0,1
commission,1,0,1
returnd,1,0,1
dy,1,0,1
frankly,1,0,1
implord,1,0,1
repentance,1,0,1
leaving,1,0,1
studied,1,0,1
careless,1,0,1
trifle,1,0,1
construction,1,0,1
bvilt,1,0,1
smotherd,1,0,1
function,1,0,1
shakes,1,0,1
theame,1,0,1
behinde,1,0,1
enkindle,1,0,1
crowne,1,0,1
oftentimes,1,0,1
trifles,1,0,1
betrays,1,0,1
deepest,1,0,1
cousins,1,0,1
prologves,1,0,1
supernaturall,1,0,1
imaginings,1,0,1
solliciting,1,0,1
successe,1,0,1
commencing,1,0,1
suggestion,1,0,1
image,1,0,1
heire,1,0,1
seated,1,0,1
knock,1,0,1
ribbes,1,0,1
loyalty,1,0,1
growing,1,0,1
chastise,1,0,1
deserud,1,0,1
fed,1,0,1
banquet,1,0,1
peereless,1,0,1
learnd,1,0,1
perfectst,1,0,1
burnt,1,0,1
missives,1,0,1
allhaild,1,0,1
saluted,1,0,1
referrd,1,0,1
deliver,1,0,1
mightst,1,0,1
dves,1,0,1
reioycing,1,0,1
kindnesse,1,0,1
neerest,1,0,1
illness,1,0,1
wrongly,1,0,1
winne,1,0,1
thouldst,1,0,1
wishest,1,0,1
commendations,1,0,1
winke,1,0,1
desires,1,0,1
unaccompanied,1,0,1
enfold,1,0,1
harvest,1,0,1
plenteous,1,0,1
ioyes,1,0,1
wanton,1,0,1
fulness,1,0,1
drops,1,0,1
establish,1,0,1
eldest,1,0,1
invest,1,0,1
fires,1,0,1
signes,1,0,1
nobleness,1,0,1
deservers,1,0,1
envernes,1,0,1
binde,1,0,1
labor,1,0,1
herbenger,1,0,1
step,1,0,1
oreleape,1,0,1
returnes,1,0,1
noughts,1,0,1
dwell,1,0,1
downfall,1,0,1
morne,1,0,1
widdowes,1,0,1
howle,1,0,1
orphans,1,0,1
sorowes,1,0,1
resounds,1,0,1
felt,1,0,1
yelld,1,0,1
dolour,1,0,1
waile,1,0,1
redresse,1,0,1
wil,1,0,1
sole,1,0,1
blisters,1,0,1
loud,1,0,1
touchd,1,0,1
appease,1,0,1
angry,1,0,1
treacherous,1,0,1
vertvous,1,0,1
transpose,1,0,1
birthdome,1,0,1
bestride,1,0,1
palehearted,1,0,1
empty,1,0,1
dame,1,0,1
neerely,1,0,1
homely,1,0,1
fright,1,0,1
thinkes,1,0,1
crvelty,1,0,1
ny,1,0,1
preserve,1,0,1
earthly,1,0,1
laudable,1,0,1
dangerous,1,0,1
womanly,1,0,1
unsanctified,1,0,1
lyst,1,0,1
shaggeeard,1,0,1
egge,1,0,1
fry,1,0,1
treachery,1,0,1
run,1,0,1
shade,1,0,1
sad,1,0,1
brightest,1,0,1
brows,1,0,1
rawness,1,0,1
motives,1,0,1
opend,1,0,1
compard,1,0,1
confineless,1,0,1
legions,1,0,1
grant,1,0,1
luxurious,1,0,1
avaricious,1,0,1
deceitfull,1,0,1
sodaine,1,0,1
malicious,1,0,1
smacking,1,0,1
sinne,1,0,1
bottome,1,0,1
voluptvousness,1,0,1
wives,1,0,1
matrons,1,0,1
maides,1,0,1
cestern,1,0,1
continent,1,0,1
impediments,1,0,1
orebeare,1,0,1
grafted,1,0,1
succeede,1,0,1
treade,1,0,1
thinkst,1,0,1
knots,1,0,1
iealousies,1,0,1
dishonors,1,0,1
safeties,1,0,1
rightly,1,0,1
tyrrany,1,0,1
basis,1,0,1
check,1,0,1
wrongs,1,0,1
graspe,1,0,1
thousands,1,0,1
boot,1,0,1
offended,1,0,1
beneath,1,0,1
yoake,1,0,1
weepes,1,0,1
bleeds,1,0,1
gash,1,0,1
added,1,0,1
uplifted,1,0,1
talkst,1,0,1
pratler,1,0,1
quickely,1,0,1
flighty,1,0,1
seaventh,1,0,1
eighth,1,0,1
appeares,1,0,1
glasse,1,0,1
shewes,1,0,1
twofold,1,0,1
balles,1,0,1
trebble,1,0,1
scepters,1,0,1
bloodbolterd,1,0,1
amazedly,1,0,1
delights,1,0,1
antique,1,0,1
kindly,1,0,1
pernitious,1,0,1
aye,1,0,1
kalender,1,0,1
whereon,1,0,1
gallopping,1,0,1
anticipatst,1,0,1
dread,1,0,1
doome,1,0,1
cracke,1,0,1
stretch,1,0,1
placd,1,0,1
metled,1,0,1
chafes,1,0,1
conspirers,1,0,1
vanquishd,1,0,1
untill,1,0,1
byrnam,1,0,1
dunsmane,1,0,1
earthbound,1,0,1
boadments,1,0,1
lease,1,0,1
fourth,1,0,1
throbs,1,0,1
kingdome,1,0,1
satisfiedand,1,0,1
eternall,1,0,1
shadowes,1,0,1
eyebals,1,0,1
goldboundbrow,1,0,1
third,1,0,1
hagges,1,0,1
exploits,1,0,1
oretooke,1,0,1
signe,1,0,1
unless,1,0,1
cosine,1,0,1
fatherd,1,0,1
fatherlesse,1,0,1
sirra,1,0,1
wormes,1,0,1
flyes,1,0,1
thoudst,1,0,1
lime,1,0,1
pitfall,1,0,1
gin,1,0,1
bvy,1,0,1
market,1,0,1
sell,1,0,1
ifaith,1,0,1
sweares,1,0,1
liars,1,0,1
fools,1,0,1
lyars,1,0,1
enow,1,0,1
monky,1,0,1
yould,1,0,1
upward,1,0,1
climbe,1,0,1
cease,1,0,1
wisedom,1,0,1
acts,1,0,1
thoght,1,0,1
surprize,1,0,1
unfortunate,1,0,1
trace,1,0,1
boasting,1,0,1
madam,1,0,1
madness,1,0,1
actions,1,0,1
mansion,1,0,1
floate,1,0,1
wren,1,0,1
diminitive,1,0,1
nest,1,0,1
runnes,1,0,1
deerest,1,0,1
cooz,1,0,1
judicious,1,0,1
fits,1,0,1
rumor,1,0,1
oppose,1,0,1
boundless,1,0,1
intemperance,1,0,1
doffe,1,0,1
deadmans,1,0,1
scarse,1,0,1
expire,1,0,1
flowers,1,0,1
caps,1,0,1
dying,1,0,1
nice,1,0,1
hisse,1,0,1
speaker,1,0,1
teemes,1,0,1
batterd,1,0,1
niggard,1,0,1
gost,1,0,1
transport,1,0,1
tydings,1,0,1
heavily,1,0,1
ran,1,0,1
rumour,1,0,1
witnest,1,0,1
afoot,1,0,1
create,1,0,1
modern,1,0,1
rent,1,0,1
shrieks,1,0,1
benediction,1,0,1
ulcerous,1,0,1
surgery,1,0,1
cures,1,0,1
hanging,1,0,1
stampe,1,0,1
neckes,1,0,1
succeeding,1,0,1
royalty,1,0,1
healing,1,0,1
vertve,1,0,1
groanes,1,0,1
heavenly,1,0,1
gvift,1,0,1
prophesy,1,0,1
blessings,1,0,1
countryman,1,0,1
cozen,1,0,1
nowthe,1,0,1
countrey,1,0,1
sighes,1,0,1
soldiours,1,0,1
dire,1,0,1
visited,1,0,1
distresses,1,0,1
comforted,1,0,1
medcines,1,0,1
deadly,1,0,1
greefe,1,0,1
childrendid,1,0,1
hellkite,1,0,1
chickens,1,0,1
damme,1,0,1
swoope,1,0,1
dispute,1,0,1
sinfull,1,0,1
strooke,1,0,1
naught,1,0,1
demerits,1,0,1
slaughter,1,0,1
whetstone,1,0,1
convert,1,0,1
anger,1,0,1
blunt,1,0,1
enrage,1,0,1
braggart,1,0,1
kild,1,0,1
bids,1,0,1
orefraught,1,0,1
shares,1,0,1
beet,1,0,1
lent,1,0,1
older,1,0,1
christendome,1,0,1
howld,1,0,1
desert,1,0,1
latch,1,0,1
concern,1,0,1
feegriefe,1,0,1
pertaines,1,0,1
whispers,1,0,1
dispise,1,0,1
possess,1,0,1
heaviest,1,0,1
humh,1,0,1
gvess,1,0,1
surprizd,1,0,1
savagely,1,0,1
slaughterd,1,0,1
browes,1,0,1
swoln,1,0,1
solicites,1,0,1
emptying,1,0,1
wholsome,1,0,1
foysons,1,0,1
portable,1,0,1
noneas,1,0,1
verity,1,0,1
temprance,1,0,1
stablenesse,1,0,1
bounty,1,0,1
perseverance,1,0,1
lowlinesse,1,0,1
devotion,1,0,1
fortitude,1,0,1
rellish,1,0,1
division,1,0,1
crime,1,0,1
acting,1,0,1
concord,1,0,1
uprore,1,0,1
universall,1,0,1
unity,1,0,1
livewith,1,0,1
untitled,1,0,1
summerseeming,1,0,1
pernicious,1,0,1
stickes,1,0,1
illcomposd,1,0,1
pleasures,1,0,1
plenty,1,0,1
hoodwinke,1,0,1
willing,1,0,1
dames,1,0,1
vulture,1,0,1
devoure,1,0,1
dedicate,1,0,1
inclinde,1,0,1
stanchless,1,0,1
wealth,1,0,1
nobles,1,0,1
lands,1,0,1
iewels,1,0,1
morehaving,1,0,1
hunger,1,0,1
forge,1,0,1
quarrels,1,0,1
uniust,1,0,1
destroying,1,0,1
sceptred,1,0,1
trvest,1,0,1
remaine,1,0,1
interdiction,1,0,1
laide,1,0,1
forsworne,1,0,1
scarsely,1,0,1
coveted,1,0,1
betray,1,0,1
speaking,1,0,1
goodnesse,1,0,1
warranted,1,0,1
quarrell,1,0,1
silent,1,0,1
unwelcom,1,0,1
reconcile,1,0,1
anoni,1,0,1
crew,1,0,1
malady,1,0,1
convinces,1,0,1
assay,1,0,1
sanctity,1,0,1
amend,1,0,1
evill,1,0,1
myraculous,1,0,1
blames,1,0,1
taints,1,0,1
abiure,1,0,1
wipd,1,0,1
accust,1,0,1
blaspheme,1,0,1
saintedking,1,0,1
bore,1,0,1
oftner,1,0,1
knees,1,0,1
repeatst,1,0,1
banishd,1,0,1
integrity,1,0,1
reconcild,1,0,1
detraction,1,0,1
divellish,1,0,1
traines,1,0,1
win,1,0,1
modest,1,0,1
pluckes,1,0,1
overcredulous,1,0,1
deale,1,0,1
betweene,1,0,1
unspeake,1,0,1
listen,1,0,1
assurance,1,0,1
ioy,1,0,1
offend,1,0,1
appall,1,0,1
proper,1,0,1
painting,1,0,1
ayredrawnedagger,1,0,1
flawes,1,0,1
starts,1,0,1
impostors,1,0,1
story,1,0,1
winters,1,0,1
authorizd,1,0,1
grandam,1,0,1
stoole,1,0,1
loe,1,0,1
nod,1,0,1
charnell,1,0,1
graves,1,0,1
bury,1,0,1
monuments,1,0,1
mawes,1,0,1
kytes,1,0,1
quite,1,0,1
extend,1,0,1
momentary,1,0,1
resolute,1,0,1
youth,1,0,1
teeth,1,0,1
sold,1,0,1
vouchd,1,0,1
feede,1,0,1
ceremony,1,0,1
sits,1,0,1
remembrancer,1,0,1
digestion,1,0,1
waite,1,0,1
appetite,1,0,1
mayt,1,0,1
roofd,1,0,1
gracd,1,0,1
challenge,1,0,1
unkindnesse,1,0,1
mischance,1,0,1
layes,1,0,1
pleast,1,0,1
reserud,1,0,1
moves,1,0,1
goary,1,0,1
unmannd,1,0,1
olden,1,0,1
statute,1,0,1
purgd,1,0,1
unreall,1,0,1
mockry,1,0,1
displacd,1,0,1
admird,1,0,1
overcome,1,0,1
summers,1,0,1
clowd,1,0,1
speciall,1,0,1
disposition,1,0,1
ruby,1,0,1
blanchd,1,0,1
enrages,1,0,1
stones,1,0,1
augures,1,0,1
understood,1,0,1
relations,1,0,1
maggot,1,0,1
pyes,1,0,1
choughes,1,0,1
rookes,1,0,1
secretst,1,0,1
girle,1,0,1
baby,1,0,1
inhabit,1,0,1
speculation,1,0,1
performd,1,0,1
crownes,1,0,1
stooles,1,0,1
muse,1,0,1
infirmity,1,0,1
pledge,1,0,1
avant,1,0,1
quit,1,0,1
marrowless,1,0,1
glare,1,0,1
trembling,1,0,1
peeres,1,0,1
spoyles,1,0,1
russian,1,0,1
rhinoceros,1,0,1
hircan,1,0,1
shape,1,0,1
nerves,1,0,1
tremble,1,0,1
desart,1,0,1
worme,1,0,1
trenched,1,0,1
bides,1,0,1
chuck,1,0,1
eminence,1,0,1
unsafe,1,0,1
lave,1,0,1
flattering,1,0,1
streames,1,0,1
vizards,1,0,1
disgvising,1,0,1
scorpions,1,0,1
knowst,1,0,1
coppies,1,0,1
eterne,1,0,1
assaileable,1,0,1
iocund,1,0,1
flowne,1,0,1
cloysterd,1,0,1
heccats,1,0,1
shardborn,1,0,1
beetle,1,0,1
drowsy,1,0,1
rung,1,0,1
yawning,1,0,1
apply,1,0,1
gvests,1,0,1
ioviall,1,0,1
nightly,1,0,1
scorchd,1,0,1
sheele,1,0,1
whilest,1,0,1
frame,1,0,1
disioynt,1,0,1
worlds,1,0,1
meale,1,0,1
affliction,1,0,1
dreames,1,0,1
torture,1,0,1
sleeke,1,0,1
restless,1,0,1
fitfull,1,0,1
fever,1,0,1
sleepes,1,0,1
treason,1,0,1
poyson,1,0,1
domestique,1,0,1
forraine,1,0,1
levy,1,0,1
peale,1,0,1
seeling,1,0,1
ditch,1,0,1
skarfe,1,0,1
usvally,1,0,1
rayne,1,0,1
trechery,1,0,1
affaire,1,0,1
hearty,1,0,1
society,1,0,1
hostess,1,0,1
speakes,1,0,1
encounter,1,0,1
harts,1,0,1
dispatchd,1,0,1
cutthroats,1,0,1
nonpareill,1,0,1
scapd,1,0,1
founded,1,0,1
rocke,1,0,1
casing,1,0,1
cabind,1,0,1
cribd,1,0,1
confind,1,0,1
bound,1,0,1
expectation,1,0,1
approches,1,0,1
inn,1,0,1
preys,1,0,1
invisible,1,0,1
cancell,1,0,1
pieces,1,0,1
thickens,1,0,1
crow,1,0,1
rooky,1,0,1
droope,1,0,1
drowse,1,0,1
agents,1,0,1
rowse,1,0,1
apace,1,0,1
marvellst,1,0,1
ioyne,1,0,1
mistrust,1,0,1
delivers,1,0,1
glimmers,1,0,1
streakes,1,0,1
spurres,1,0,1
lated,1,0,1
traveller,1,0,1
oddes,1,0,1
sayst,1,0,1
denies,1,0,1
gaines,1,0,1
blaspheming,1,0,1
iew,1,0,1
goate,1,0,1
slippes,1,0,1
yew,1,0,1
sliverd,1,0,1
moones,1,0,1
ecclipse,1,0,1
nose,1,0,1
turke,1,0,1
tartars,1,0,1
birthstrangled,1,0,1
ditchdeliverd,1,0,1
drab,1,0,1
grewell,1,0,1
thicke,1,0,1
slab,1,0,1
thereto,1,0,1
chawdron,1,0,1
cawdron,1,0,1
baboones,1,0,1
liver,1,0,1
diggd,1,0,1
hemlocke,1,0,1
howlets,1,0,1
frogge,1,0,1
wooll,1,0,1
dogge,1,0,1
adders,1,0,1
forke,1,0,1
blindewormes,1,0,1
sting,1,0,1
lizards,1,0,1
legge,1,0,1
powrefull,1,0,1
sharke,1,0,1
hellbroth,1,0,1
scale,1,0,1
dragon,1,0,1
wolfe,1,0,1
mummey,1,0,1
maw,1,0,1
gulfe,1,0,1
ravind,1,0,1
salt,1,0,1
share,1,0,1
sing,1,0,1
newt,1,0,1
elves,1,0,1
tumble,1,0,1
aske,1,0,1
thhadst,1,0,1
mouthes,1,0,1
masters,1,0,1
sowes,1,0,1
farrow,1,0,1
greaze,1,0,1
sweaten,1,0,1
murderers,1,0,1
gibbet,1,0,1
flame,1,0,1
deaftly,1,0,1
apparation,1,0,1
armed,1,0,1
nought,1,0,1
dismisse,1,0,1
harpd,1,0,1
commanded,1,0,1
potent,1,0,1
ild,1,0,1
germaine,1,0,1
foundations,1,0,1
slope,1,0,1
professe,1,0,1
fairies,1,0,1
inchanting,1,0,1
pricking,1,0,1
thumbes,1,0,1
wicked,1,0,1
knockes,1,0,1
midnight,1,0,1
hags,1,0,1
coniure,1,0,1
untye,1,0,1
pyramids,1,0,1
windes,1,0,1
churches,1,0,1
yesty,1,0,1
waves,1,0,1
swallow,1,0,1
bladed,1,0,1
topple,1,0,1
warders,1,0,1
pallaces,1,0,1
toe,1,0,1
bake,1,0,1
bidding,1,0,1
pittied,1,0,1
meete,1,0,1
destiny,1,0,1
spels,1,0,1
noone,1,0,1
corner,1,0,1
hangs,1,0,1
vaprous,1,0,1
profound,1,0,1
distilld,1,0,1
magicke,1,0,1
slights,1,0,1
artificiall,1,0,1
illusion,1,0,1
confusion,1,0,1
spurn,1,0,1
bove,1,0,1
security,1,0,1
mortals,1,0,1
cheefest,1,0,1
sheel,1,0,1
hit,1,0,1
acheron,1,0,1
pit,1,0,1
gon,1,0,1
angerly,1,0,1
betimes,1,0,1
stept,1,0,1
wade,1,0,1
returning,1,0,1
tedious,1,0,1
acted,1,0,1
scand,1,0,1
selfabuse,1,0,1
initiate,1,0,1
beldams,1,0,1
amends,1,0,1
overbold,1,0,1
trafficke,1,0,1
riddles,1,0,1
affaires,1,0,1
mistris,1,0,1
contriver,1,0,1
wayward,1,0,1
spightfull,1,0,1
wrathfull,1,0,1
interpret,1,0,1
want,1,0,1
fenny,1,0,1
monstrous,1,0,1
homage,1,0,1
exasperate,1,0,1
prepares,1,0,1
clowdy,1,0,1
turnes,1,0,1
rve,1,0,1
clogges,1,0,1
unfold,1,0,1
